,age,nationality,club,overall,potential,value_eur,preferred_foot,international_reputation,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,main_position,bmi
16450,18,9,637,57,71,210000,1,1,3,3,80.0,54.0,53.0,57.0,28.0,53.0,53,52,48,53,50,56,55,66,48,55,82,79,76,50,53,59,55,63,51,54,47,22,51,51,55,50,29,25,26,55,55,55,57,55,55,55,57,55,55,55,56,49,49,49,56,46,41,41,41,46,44,37,37,37,44,0,22.857142857142858
16452,20,7,416,57,71,210000,1,1,3,2,68.0,40.0,55.0,58.0,55.0,55.0,47,34,56,65,34,58,45,43,56,53,67,68,71,51,72,51,56,54,52,43,63,55,32,52,45,45,51,57,58,48,48,48,52,50,50,50,52,53,53,53,53,53,53,53,53,56,56,56,56,56,56,55,55,55,56,6,20.00656932126967
16453,20,13,356,57,71,230000,1,1,4,2,62.0,56.0,41.0,55.0,21.0,55.0,31,59,58,47,46,54,34,33,30,53,63,62,64,52,57,56,56,51,67,51,32,16,53,50,63,49,18,18,15,55,55,55,52,54,54,54,52,52,52,52,50,44,44,44,50,36,34,34,34,36,35,33,33,33,35,1,21.62162162162162
16454,20,13,503,57,71,230000,1,1,3,2,67.0,50.0,53.0,54.0,38.0,50.0,39,52,44,64,39,52,35,36,57,58,65,69,57,48,52,55,56,54,43,41,59,41,54,54,45,43,28,42,47,52,52,52,54,55,55,55,54,55,55,55,55,54,54,54,55,49,49,49,49,49,48,44,44,44,48,3,21.0372534696859
16455,21,9,449,57,70,190000,1,1,3,2,52.0,39.0,40.0,43.0,54.0,67.0,30,33,55,47,32,39,30,34,49,43,52,52,54,50,52,49,67,63,68,45,67,54,30,33,45,48,51,56,55,43,43,43,40,41,41,41,40,41,41,41,42,44,44,44,42,49,52,52,52,49,50,55,55,55,50,4,22.79035792549306
16456,20,9,677,57,70,180000,0,1,2,2,65.0,35.0,51.0,51.0,55.0,63.0,53,31,47,54,29,49,48,51,50,48,66,64,61,52,67,35,55,65,67,42,53,54,45,45,37,50,54,57,58,45,45,45,49,47,47,47,49,48,48,48,51,50,50,50,51,55,54,54,54,55,56,55,55,55,56,8,23.03875236294896
16457,21,9,677,57,70,200000,1,1,3,2,63.0,42.0,56.0,59.0,47.0,57.0,44,41,35,64,43,57,48,38,57,55,67,59,71,56,76,49,58,68,58,39,39,43,44,58,41,58,54,49,42,49,49,49,53,52,52,52,53,55,55,55,55,55,55,55,55,53,53,53,53,53,51,48,48,48,51,5,26.573129251700685
16458,20,25,587,57,70,190000,1,1,2,2,67.0,21.0,39.0,49.0,54.0,64.0,38,19,67,50,25,46,27,24,41,52,61,71,58,41,52,28,70,53,73,17,54,52,23,28,25,45,49,57,52,40,40,40,42,39,39,39,42,40,40,40,44,42,42,42,44,50,50,50,50,50,52,56,56,56,52,4,20.775623268698062
16459,19,25,409,57,70,200000,1,1,3,2,73.0,46.0,53.0,66.0,38.0,48.0,43,49,38,61,38,66,43,34,53,65,78,69,77,50,71,49,58,54,44,41,47,39,48,54,39,49,33,42,42,52,52,52,58,57,57,57,58,58,58,58,58,54,54,54,58,50,48,48,48,50,49,43,43,43,49,7,21.146319909102385
16460,21,4,544,57,70,200000,1,1,4,3,90.0,47.0,45.0,63.0,26.0,50.0,47,47,29,44,46,62,43,35,42,61,91,90,79,45,78,54,40,51,60,41,26,25,43,48,45,44,29,22,29,51,51,51,57,54,54,54,57,53,53,53,55,46,46,46,55,45,38,38,38,45,43,34,34,34,43,2,22.720438370810918
16462,20,9,620,57,70,200000,1,1,3,3,72.0,57.0,48.0,60.0,26.0,46.0,38,61,51,54,42,58,52,58,42,57,73,71,71,54,81,57,62,62,41,51,35,22,60,49,61,58,23,25,20,57,57,57,57,57,57,57,57,56,56,56,56,50,50,50,56,42,39,39,39,42,41,34,34,34,41,3,21.04981790236894
16463,20,54,179,57,70,200000,1,1,3,2,49.0,58.0,43.0,50.0,25.0,65.0,35,63,69,54,52,47,38,32,29,54,47,50,49,46,55,60,64,57,73,48,57,17,51,45,64,50,16,25,26,56,56,56,49,51,51,51,49,49,49,49,48,45,45,45,48,38,38,38,38,38,37,39,39,39,37,1,27.160493827160494
16464,21,27,388,57,70,200000,1,1,3,2,68.0,43.0,51.0,60.0,41.0,54.0,50,40,39,58,37,61,43,32,46,53,69,68,70,55,71,53,63,52,57,35,49,42,56,52,45,48,44,39,42,51,51,51,55,54,54,54,55,54,54,54,55,51,51,51,55,50,48,48,48,50,49,46,46,46,49,11,22.66270867247598
16465,20,32,307,57,70,200000,1,1,3,3,69.0,50.0,51.0,65.0,28.0,38.0,44,48,39,53,48,63,49,46,52,63,71,68,78,47,82,58,53,34,34,49,48,25,45,55,46,52,24,30,29,51,51,51,56,55,55,55,56,56,56,56,54,50,50,50,54,42,40,40,40,42,40,35,35,35,40,3,21.971335857220122
16466,20,34,334,57,70,180000,1,1,3,2,60.0,33.0,40.0,56.0,57.0,58.0,56,33,46,33,31,58,38,35,32,48,67,55,68,60,51,33,58,58,58,27,59,53,56,43,45,42,55,63,62,46,46,46,50,47,47,47,50,46,46,46,50,45,45,45,50,54,50,50,50,54,55,55,55,55,55,9,21.672110130948383
16467,20,0,171,57,70,200000,1,1,3,2,61.0,43.0,54.0,58.0,57.0,61.0,50,35,58,60,44,55,51,46,54,59,63,59,60,62,64,55,58,60,62,43,58,55,53,52,52,55,58,57,53,52,52,52,54,54,54,54,54,54,54,54,55,55,55,55,55,56,57,57,57,56,57,57,57,57,57,5,22.783308885490467
16468,18,7,596,57,70,190000,1,1,3,2,69.0,57.0,48.0,56.0,28.0,55.0,59,57,53,45,43,52,42,41,38,58,70,68,62,53,66,61,65,58,59,51,40,23,56,51,70,51,31,23,21,56,56,56,56,55,55,55,56,53,53,53,55,47,47,47,55,44,39,39,39,44,42,37,37,37,42,1,23.54788069073783
16469,19,7,499,57,70,180000,1,1,2,2,63.0,34.0,46.0,49.0,56.0,61.0,54,28,49,48,29,50,36,34,50,45,62,64,55,59,50,41,61,60,63,37,56,50,41,35,48,46,52,63,64,45,45,45,47,45,45,45,47,45,45,45,49,47,47,47,49,55,53,53,53,55,56,56,56,56,56,4,23.334120982986768
16470,19,34,178,57,70,190000,1,1,2,2,57.0,43.0,54.0,59.0,54.0,57.0,40,38,55,62,35,54,53,45,59,60,60,55,73,58,76,51,59,61,52,47,65,53,31,54,51,41,46,61,58,48,48,48,51,51,51,51,51,53,53,53,52,55,55,55,52,55,57,57,57,55,55,56,56,56,55,5,24.725182932941294
16472,22,25,376,57,70,180000,1,1,2,2,58.0,29.0,40.0,44.0,54.0,69.0,25,28,48,51,23,42,26,25,45,48,59,58,46,46,39,33,68,60,81,23,51,54,36,38,36,40,53,58,54,42,42,42,41,41,41,41,41,42,42,42,43,45,45,45,43,49,52,52,52,49,51,56,56,56,51,4,23.35633171360305
16473,19,4,417,57,70,190000,1,1,3,3,61.0,48.0,52.0,65.0,34.0,44.0,52,50,37,55,44,65,58,43,49,63,62,61,73,56,74,48,50,45,43,42,43,31,44,51,55,65,31,37,33,51,51,51,56,54,54,54,56,55,55,55,55,51,51,51,55,46,44,44,44,46,44,39,39,39,44,3,21.461936624163616
16474,21,9,687,57,70,190000,1,1,3,2,55.0,46.0,49.0,47.0,56.0,56.0,47,43,59,52,38,42,46,37,49,51,56,54,52,57,56,55,66,60,51,47,62,56,39,48,44,57,54,55,57,49,49,49,48,48,48,48,48,48,48,48,49,50,50,50,49,53,54,54,54,53,54,55,55,55,54,4,21.85727788279773
16475,19,15,569,57,70,180000,1,1,3,2,57.0,27.0,34.0,46.0,55.0,67.0,30,27,50,36,31,45,28,28,29,39,51,62,56,54,65,26,68,61,75,24,54,55,38,40,33,37,52,60,58,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,49,49,49,49,49,51,56,56,56,51,4,21.913805697589478
16477,19,55,661,57,70,180000,0,1,2,2,84.0,24.0,48.0,53.0,49.0,57.0,52,23,45,57,26,45,25,34,46,54,85,84,77,52,72,20,64,60,56,20,54,47,42,40,35,35,44,55,52,43,43,43,50,46,46,46,50,48,48,48,52,48,48,48,52,55,51,51,51,55,55,51,51,51,55,8,19.252619618735007
16478,18,38,535,57,70,190000,0,1,3,2,80.0,51.0,52.0,60.0,29.0,37.0,52,54,34,55,57,58,55,57,41,56,79,80,76,45,83,49,69,40,34,45,34,18,52,51,55,48,27,37,31,52,52,52,57,55,55,55,57,55,55,55,55,47,47,47,55,44,38,38,38,44,42,35,35,35,42,2,21.71806608974573
16479,19,46,588,57,70,200000,1,1,3,2,64.0,56.0,44.0,53.0,22.0,65.0,46,57,60,51,46,51,31,35,35,56,61,66,57,47,48,60,64,60,72,53,53,21,52,42,56,51,16,18,16,56,56,56,52,53,53,53,52,51,51,51,51,45,45,45,51,40,37,37,37,40,38,36,36,36,38,1,23.26869806094183
16481,20,66,665,57,69,170000,1,1,3,2,54.0,35.0,48.0,54.0,56.0,59.0,41,29,55,56,31,52,35,34,53,54,53,55,58,60,55,47,53,58,60,33,61,57,39,46,40,55,54,58,56,46,46,46,48,47,47,47,48,49,49,49,49,51,51,51,49,54,56,56,56,54,54,56,56,56,54,6,22.944088878154812
16483,20,9,652,57,69,170000,1,1,3,2,64.0,30.0,45.0,50.0,57.0,64.0,48,26,52,50,29,49,39,21,41,52,66,63,52,43,57,41,67,65,69,28,50,57,42,42,23,49,56,58,57,44,44,44,46,45,45,45,46,45,45,45,48,47,47,47,48,54,52,52,52,54,55,56,56,56,55,9,23.291229956104985
16484,20,26,216,57,69,190000,0,1,3,2,64.0,42.0,56.0,58.0,50.0,58.0,46,34,60,65,43,57,44,46,60,59,61,66,55,58,68,55,62,61,55,41,61,50,55,54,50,47,42,52,59,53,53,53,54,55,55,55,54,56,56,56,56,57,57,57,56,55,56,56,56,55,55,54,54,54,55,3,23.38868655818771
16485,21,26,670,57,69,180000,1,1,3,2,75.0,50.0,53.0,58.0,53.0,66.0,52,50,45,58,41,55,50,30,48,57,79,71,68,57,71,50,55,78,63,55,63,54,54,53,26,51,54,55,53,54,54,54,57,56,56,56,57,56,56,56,58,55,55,55,58,59,56,56,56,59,58,55,55,55,58,5,19.753086419753085
16487,20,9,664,57,69,170000,1,1,2,2,76.0,28.0,43.0,53.0,55.0,62.0,45,27,50,52,28,55,28,28,46,42,74,78,67,55,61,26,70,61,68,24,48,51,43,31,40,39,55,58,54,44,44,44,48,45,45,45,48,46,46,46,50,46,46,46,50,54,51,51,51,54,55,55,55,55,55,9,20.45288531775018
16488,19,9,553,57,69,160000,0,1,3,2,68.0,38.0,51.0,55.0,55.0,55.0,54,35,41,53,35,54,49,51,49,51,69,68,63,52,74,42,61,49,58,36,55,54,45,46,47,55,56,57,59,46,46,46,51,49,49,49,51,50,50,50,52,49,49,49,52,55,53,53,53,55,55,54,54,54,55,8,20.98765432098765
16489,20,9,676,57,69,190000,1,1,3,2,72.0,55.0,38.0,60.0,18.0,59.0,30,57,51,44,42,57,49,38,26,59,73,72,72,48,76,58,70,67,59,47,45,11,57,42,58,51,15,16,10,56,56,56,54,55,55,55,54,52,52,52,52,44,44,44,52,37,33,33,33,37,35,31,31,31,35,1,24.543462381300216
16490,20,15,528,57,69,190000,1,1,3,2,71.0,42.0,50.0,60.0,44.0,57.0,54,42,44,57,40,57,44,32,43,59,72,70,74,50,81,44,74,66,59,37,38,42,48,44,47,47,44,46,46,50,50,50,54,52,52,52,54,53,53,53,55,50,50,50,55,53,49,49,49,53,52,48,48,48,52,10,23.529411764705884
16491,21,145,586,57,69,180000,1,1,3,2,57.0,41.0,54.0,56.0,54.0,53.0,42,42,55,62,32,54,35,38,58,60,55,58,55,59,56,50,61,54,52,35,54,54,41,58,37,43,52,57,52,50,50,50,52,52,52,52,52,54,54,54,53,56,56,56,53,54,56,56,56,54,54,55,55,55,54,5,20.679012345679013
16492,21,27,510,57,69,190000,1,1,2,3,81.0,49.0,48.0,62.0,27.0,47.0,43,50,32,51,45,61,49,42,48,54,83,79,83,55,93,53,54,58,42,46,43,20,54,51,41,59,28,27,31,52,52,52,57,56,56,56,57,55,55,55,56,49,49,49,56,45,40,40,40,45,43,35,35,35,43,3,24.46460160337235
16494,21,24,197,57,69,190000,1,1,3,2,63.0,55.0,42.0,54.0,27.0,55.0,32,58,59,49,54,56,42,38,37,52,62,64,51,52,49,55,52,55,63,48,37,19,55,43,61,48,32,21,15,56,56,56,52,53,53,53,52,51,51,51,51,45,45,45,51,38,37,37,37,38,37,36,36,36,37,1,22.205989773557338
16496,21,103,470,57,69,190000,1,1,2,2,81.0,56.0,46.0,62.0,18.0,47.0,39,58,47,48,52,61,46,41,45,59,80,82,79,54,73,56,56,60,41,55,41,17,52,50,54,51,13,15,12,56,56,56,58,57,57,57,58,56,56,56,56,49,49,49,56,40,36,36,36,40,38,30,30,30,38,1,21.453287197231838
16497,21,9,26,57,69,190000,1,1,3,2,73.0,53.0,42.0,55.0,25.0,52.0,36,56,56,52,46,53,42,32,35,54,73,73,59,59,69,52,64,48,59,51,35,29,50,40,54,54,26,17,11,55,55,55,53,54,54,54,53,52,52,52,52,45,45,45,52,40,37,37,37,40,39,36,36,36,39,1,21.604938271604937
16498,19,66,637,57,69,160000,1,1,2,2,73.0,36.0,44.0,51.0,53.0,65.0,51,33,52,51,32,48,34,29,46,51,75,71,63,53,63,46,71,70,66,33,57,54,38,30,33,52,54,53,53,47,47,47,48,46,46,46,48,46,46,46,50,47,47,47,50,56,52,52,52,56,56,55,55,55,56,9,20.902385858042937
16499,20,54,359,57,69,170000,1,1,2,2,56.0,28.0,32.0,36.0,57.0,61.0,30,21,51,37,29,30,27,28,33,35,60,53,46,53,59,41,72,61,64,27,52,51,30,29,41,46,53,64,67,38,38,38,35,35,35,35,35,35,35,35,37,38,38,38,37,49,48,48,48,49,52,55,55,55,52,4,24.151672503320853
16502,20,55,543,57,69,190000,1,1,2,2,70.0,39.0,52.0,58.0,38.0,58.0,46,35,40,59,38,57,39,30,56,54,72,69,64,53,81,46,60,59,59,37,56,39,58,52,40,48,32,41,43,50,50,50,54,53,53,53,54,54,54,54,55,53,53,53,55,50,49,49,49,50,48,45,45,45,48,10,21.79944510503369
16503,19,45,490,57,69,180000,1,1,3,2,73.0,49.0,54.0,59.0,31.0,53.0,49,46,39,59,48,60,47,50,52,56,71,75,63,45,75,55,53,55,49,47,59,28,61,52,48,49,29,31,36,53,53,53,56,56,56,56,56,56,56,56,56,51,51,51,56,46,44,44,44,46,44,40,40,40,44,3,21.35779559539232
16504,20,7,481,57,69,180000,1,1,2,2,60.0,35.0,55.0,58.0,55.0,54.0,42,30,50,63,30,55,41,43,65,58,61,59,63,54,72,47,65,54,50,33,60,56,39,55,40,40,50,61,57,46,46,46,50,50,50,50,50,53,53,53,53,55,55,55,53,55,57,57,57,55,55,55,55,55,55,5,22.34351559258195
16505,19,15,528,57,69,180000,0,1,3,3,76.0,44.0,50.0,61.0,26.0,49.0,54,48,38,53,47,60,44,38,43,59,78,74,76,43,70,42,60,63,48,36,30,25,47,48,46,43,29,22,22,50,50,50,56,53,53,53,56,53,53,53,56,48,48,48,56,45,39,39,39,45,42,34,34,34,42,11,23.355636914530994
16506,21,55,632,57,69,190000,1,1,4,3,63.0,44.0,58.0,57.0,36.0,51.0,47,41,44,65,42,56,48,47,63,57,64,62,57,51,66,52,54,52,52,42,48,34,49,60,49,58,36,34,34,50,50,50,54,53,53,53,54,56,56,56,55,54,54,54,55,47,48,48,48,47,45,42,42,42,45,3,24.021275987303035
16508,19,32,445,57,69,180000,1,1,3,2,66.0,41.0,54.0,54.0,52.0,50.0,44,36,52,63,36,50,36,38,59,56,67,65,55,55,78,55,63,63,40,37,57,55,55,53,42,57,49,52,55,50,50,50,52,53,53,53,52,54,54,54,54,55,55,55,54,55,55,55,55,55,55,52,52,52,55,5,21.224489795918366
16509,19,54,222,57,69,160000,1,1,2,2,62.0,31.0,39.0,55.0,56.0,50.0,56,26,47,33,28,58,40,34,28,45,68,57,56,60,82,34,59,60,44,30,52,60,48,42,45,40,49,62,60,43,43,43,48,45,45,45,48,44,44,44,48,44,44,44,48,55,49,49,49,55,55,53,53,53,55,9,23.87543252595156
16511,22,9,657,57,68,160000,1,1,3,2,54.0,24.0,34.0,30.0,57.0,64.0,23,18,56,43,21,20,26,20,39,32,51,57,49,49,62,39,74,57,70,21,56,50,28,32,37,44,58,60,56,36,36,36,32,33,33,33,32,33,33,33,34,38,38,38,34,46,49,49,49,46,49,56,56,56,49,4,22.955684331345708
16512,21,9,599,57,68,160000,1,1,2,2,59.0,26.0,38.0,39.0,55.0,65.0,29,21,55,48,20,32,19,26,37,42,55,62,53,41,52,38,64,52,70,26,67,52,33,38,21,47,58,54,52,39,39,39,38,38,38,38,38,39,39,39,39,41,41,41,39,47,49,49,49,47,49,55,55,55,49,4,21.7335354170837
16513,22,17,394,57,68,160000,1,1,2,2,45.0,25.0,37.0,39.0,54.0,65.0,37,22,63,49,26,30,21,21,30,44,36,53,51,59,53,35,67,68,64,19,63,56,30,31,35,56,45,58,55,39,39,39,37,37,37,37,37,37,37,37,39,42,42,42,39,50,51,51,51,50,52,56,56,56,52,4,21.161600274528865
16514,21,9,599,57,68,180000,1,1,3,3,83.0,47.0,50.0,57.0,45.0,43.0,61,46,22,47,42,58,52,48,35,52,79,86,67,53,56,51,41,36,45,48,46,51,52,57,37,46,55,42,38,50,50,50,57,54,54,54,57,54,54,54,55,48,48,48,55,52,46,46,46,52,50,45,45,45,50,10,21.266540642722116
16516,20,9,343,57,68,180000,0,1,3,2,69.0,49.0,57.0,62.0,35.0,42.0,47,45,41,63,48,57,54,55,58,63,74,65,76,53,82,58,60,62,29,49,45,32,44,59,48,54,33,36,34,51,51,51,56,55,55,55,56,57,57,57,57,55,55,55,57,49,47,47,47,49,47,39,39,39,47,5,24.801587301587304
16518,21,66,692,57,68,160000,0,1,3,2,48.0,26.0,41.0,40.0,55.0,60.0,22,20,58,55,28,38,24,23,50,41,50,47,38,52,40,40,72,45,64,21,64,55,25,38,33,59,52,57,55,39,39,39,37,38,38,38,37,40,40,40,39,44,44,44,39,47,52,52,52,47,49,56,56,56,49,4,22.205989773557338
16519,20,7,416,57,68,160000,1,1,3,2,67.0,35.0,42.0,52.0,56.0,65.0,44,31,45,48,23,51,30,31,35,48,70,65,64,55,68,54,67,68,70,27,49,56,44,39,38,40,54,59,59,47,47,47,48,47,47,47,48,46,46,46,49,46,46,46,49,55,52,52,52,55,56,56,56,56,56,9,22.59814049586777
16520,21,103,464,57,68,160000,0,1,3,2,78.0,29.0,47.0,57.0,52.0,60.0,55,28,42,49,23,53,32,27,47,56,76,80,73,49,83,20,73,59,65,29,46,52,49,45,52,43,53,54,55,44,44,44,52,48,48,48,52,50,50,50,53,49,49,49,53,56,52,52,52,56,56,53,53,53,56,8,20.715693808680545
16522,20,76,207,57,68,160000,1,1,3,2,77.0,42.0,52.0,62.0,49.0,61.0,57,41,45,56,42,60,50,28,48,59,76,77,71,56,80,42,67,64,65,42,48,53,57,48,34,55,46,51,49,53,53,53,57,55,55,55,57,55,55,55,58,53,53,53,58,57,53,53,53,57,56,52,52,52,56,9,21.10070528384784
16523,20,23,565,57,68,160000,1,1,3,2,59.0,25.0,26.0,32.0,58.0,60.0,26,18,53,30,19,27,24,29,28,31,61,58,40,47,57,38,71,40,74,23,46,56,28,16,40,44,61,59,54,36,36,36,32,32,32,32,32,29,29,29,32,31,31,31,32,45,44,44,44,45,48,55,55,55,48,4,23.629489603024574
16524,20,7,499,57,68,160000,0,1,2,2,66.0,26.0,37.0,50.0,58.0,62.0,44,22,49,39,31,49,29,32,32,47,65,67,60,55,55,27,62,58,68,24,54,59,44,33,37,40,58,59,60,42,42,42,45,43,43,43,45,42,42,42,46,42,42,42,46,54,50,50,50,54,55,57,57,57,55,8,22.54595907041276
16526,21,32,307,57,68,160000,1,1,3,2,74.0,29.0,42.0,57.0,54.0,52.0,56,26,42,44,30,56,29,28,41,48,78,71,78,58,75,31,58,55,51,30,50,52,43,33,37,39,51,60,59,43,43,43,50,46,46,46,50,46,46,46,50,45,45,45,50,55,50,50,50,55,56,52,52,52,56,12,22.460034350640772
16527,20,85,626,57,68,160000,1,1,3,2,55.0,24.0,37.0,45.0,58.0,57.0,30,22,54,50,18,41,20,24,41,45,53,57,54,52,62,35,67,64,57,17,44,57,29,27,30,49,60,58,56,39,39,39,39,39,39,39,39,39,39,39,42,43,43,43,42,51,51,51,51,51,53,55,55,55,53,4,22.89307408198773
16528,21,27,348,57,68,170000,1,1,2,2,69.0,40.0,47.0,49.0,55.0,63.0,38,32,47,55,39,45,36,34,51,49,68,69,61,51,70,54,62,73,58,41,62,58,45,46,42,45,55,58,52,47,47,47,48,48,48,48,48,49,49,49,50,51,51,51,50,55,55,55,55,55,55,55,55,55,55,6,22.34351559258195
16529,22,59,194,57,68,180000,0,1,2,2,67.0,58.0,49.0,60.0,25.0,63.0,50,57,49,53,54,60,49,43,36,59,65,68,66,47,63,68,70,60,67,54,56,18,52,51,54,49,23,25,25,57,57,57,56,56,56,56,56,54,54,54,55,48,48,48,55,43,40,40,40,43,41,38,38,38,41,0,22.530864197530864
16530,20,7,424,57,68,180000,1,1,3,3,63.0,48.0,57.0,64.0,46.0,39.0,52,51,43,61,43,63,46,41,58,62,65,62,74,53,84,50,60,41,34,40,43,48,50,60,50,58,37,55,46,52,52,52,57,56,56,56,57,58,58,58,57,56,56,56,57,52,51,51,51,52,51,47,47,47,51,5,22.229061933586404
16531,20,23,565,57,68,160000,0,1,3,2,69.0,29.0,43.0,53.0,55.0,60.0,52,28,45,47,23,52,29,29,41,47,71,67,64,51,70,30,65,59,59,26,62,54,39,35,35,42,53,60,59,42,42,42,47,44,44,44,47,44,44,44,49,45,45,45,49,55,51,51,51,55,55,55,55,55,55,8,22.093170054286073
16532,20,126,271,57,68,170000,1,1,3,2,68.0,42.0,49.0,54.0,51.0,70.0,41,41,47,58,35,51,30,35,53,54,66,69,62,52,75,55,68,82,68,32,60,52,54,46,43,48,46,56,54,51,51,51,51,52,52,52,51,52,52,52,54,53,53,53,54,56,55,55,55,56,55,54,54,54,55,6,21.13885585942661
16533,22,21,679,57,67,170000,1,1,3,2,51.0,60.0,46.0,57.0,19.0,40.0,37,60,56,52,48,54,42,31,39,56,49,53,70,57,60,59,64,45,38,63,33,14,58,52,65,52,16,13,15,55,55,55,54,55,55,55,54,54,54,54,51,48,48,48,51,35,34,34,34,35,33,30,30,30,33,1,21.604938271604937
16534,22,9,663,57,67,150000,1,1,3,2,70.0,33.0,45.0,53.0,55.0,67.0,49,30,52,48,25,51,36,32,43,50,70,70,68,50,69,37,75,69,69,29,55,54,52,42,41,45,55,56,56,47,47,47,49,47,47,47,49,48,48,48,51,48,48,48,51,55,52,52,52,55,56,56,56,56,56,13,22.530864197530864
16535,22,65,449,57,67,150000,0,1,3,2,72.0,34.0,50.0,57.0,53.0,47.0,51,35,47,49,31,59,56,31,55,53,71,72,57,54,73,30,45,57,41,34,52,51,42,49,37,42,50,56,63,45,45,45,52,49,49,49,52,50,50,50,53,51,51,51,53,55,52,52,52,55,56,51,51,51,56,8,23.889462809917354
16536,21,85,518,57,67,170000,1,1,3,2,77.0,48.0,52.0,58.0,35.0,59.0,51,51,39,55,38,58,42,39,56,56,77,77,69,44,58,49,53,52,70,38,40,36,52,52,63,46,32,35,42,53,53,53,56,54,54,54,56,54,54,54,56,51,51,51,56,48,46,46,46,48,47,43,43,43,47,11,24.114038033027075
16539,21,27,508,57,67,150000,1,1,2,2,72.0,26.0,44.0,51.0,57.0,57.0,47,25,57,56,23,50,33,33,30,46,70,73,60,55,76,20,61,55,61,27,48,59,52,36,30,37,62,52,49,45,45,45,49,46,46,46,49,47,47,47,49,45,45,45,49,54,51,51,51,54,55,55,55,55,55,9,22.093170054286073
16540,21,9,599,57,67,170000,1,1,3,2,67.0,42.0,52.0,57.0,56.0,67.0,41,40,48,63,37,55,30,37,59,57,65,68,58,56,67,45,65,71,64,43,68,54,50,48,39,54,57,58,54,51,51,51,53,53,53,53,53,54,54,54,55,56,56,56,55,57,58,58,58,57,57,57,57,57,57,5,21.434609346697258
16541,21,9,597,57,67,170000,1,1,3,2,72.0,49.0,54.0,59.0,36.0,56.0,51,47,39,57,42,56,50,43,55,56,73,72,76,52,80,53,65,66,56,50,42,32,54,56,50,55,35,38,33,52,52,52,56,55,55,55,56,56,56,56,57,53,53,53,57,49,47,47,47,49,47,42,42,42,47,3,21.224489795918366
16542,21,9,290,57,67,150000,1,1,3,2,61.0,28.0,36.0,37.0,56.0,67.0,33,25,55,40,27,29,25,25,38,40,63,60,52,52,62,37,68,65,71,23,58,56,25,35,34,51,56,55,56,39,39,39,37,37,37,37,37,37,37,37,39,40,40,40,39,50,50,50,50,50,52,56,56,56,52,4,22.917609778180175
16544,20,28,488,57,67,170000,1,1,3,2,67.0,55.0,50.0,60.0,24.0,58.0,43,57,59,55,36,59,38,32,54,57,68,67,72,57,65,56,70,67,62,55,33,11,53,55,55,40,25,22,19,57,57,57,57,57,57,57,57,57,57,57,56,52,52,52,56,42,40,40,40,42,40,36,36,36,40,2,21.777553339224845
16546,21,9,583,57,67,170000,1,1,3,2,75.0,55.0,45.0,58.0,23.0,61.0,41,56,50,49,50,56,46,37,35,55,74,75,73,49,73,55,68,64,67,52,40,19,55,50,55,51,21,22,17,56,56,56,55,55,55,55,55,54,54,54,54,47,47,47,54,41,37,37,37,41,39,35,35,35,39,1,21.777553339224845
16547,20,9,652,57,67,170000,1,1,3,2,73.0,56.0,44.0,57.0,20.0,55.0,51,57,46,45,60,53,44,48,34,54,75,72,77,57,68,57,76,55,56,52,49,18,54,41,59,56,18,18,11,55,55,55,55,54,54,54,55,52,52,52,53,44,44,44,53,40,35,35,35,40,38,33,33,33,38,1,21.22280827689523
16548,20,9,26,57,67,170000,0,1,3,3,70.0,47.0,50.0,64.0,27.0,34.0,54,47,30,52,40,62,50,37,46,60,73,67,78,57,79,44,48,44,30,48,30,27,53,49,50,54,26,27,24,50,50,50,57,55,55,55,57,55,55,55,56,49,49,49,56,44,39,39,39,44,41,32,32,32,41,10,22.321428571428577
16549,20,9,655,57,67,170000,1,1,3,2,67.0,50.0,55.0,58.0,53.0,61.0,50,47,45,58,43,56,52,45,57,57,65,69,69,53,65,57,69,67,56,54,63,53,50,56,48,51,53,55,53,53,53,53,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,54,54,56,5,21.224489795918366
16551,20,14,582,57,67,170000,1,1,2,2,68.0,53.0,40.0,56.0,28.0,58.0,37,55,50,49,42,56,31,31,29,55,66,70,59,50,56,56,64,48,69,48,43,13,56,40,48,45,35,26,16,55,55,55,53,54,54,54,53,51,51,51,51,44,44,44,51,39,37,37,37,39,38,37,37,37,38,1,22.068809416025353
16552,20,56,117,57,67,160000,1,1,2,2,57.0,34.0,52.0,56.0,51.0,61.0,38,35,42,65,29,48,37,35,53,58,58,57,73,60,77,42,74,67,63,26,47,45,24,48,39,49,50,59,51,44,44,44,48,47,47,47,48,50,50,50,50,52,52,52,50,54,55,55,55,54,53,53,53,53,53,6,22.30935640886966
